市場,產品,香蕉_平均價,香蕉_交易量,香蕉_5日平均價格,香蕉_前1日平均價格,芭蕉_前1日平均價,芭樂_前1日平均價格
109 台北一,A1 香蕉,14.2,27705,14.679999999999993,14.6,20.2,20.8
109 台北一,A1 香蕉,15.1,12245,14.71999999999999,14.2,21.9,20.5
109 台北一,A1 香蕉,15.5,20335,14.85999999999999,15.1,19.7,22.0
109 台北一,A1 香蕉,15.9,25820,15.059999999999992,15.5,21.4,25.6
109 台北一,A1 香蕉,16.8,22235,15.499999999999991,15.9,21.7,27.1
109 台北一,A1 香蕉,16.0,27191,15.85999999999999,16.8,21.2,27.4
109 台北一,A1 香蕉,15.2,19708,15.879999999999992,16.0,19.7,29.3
109 台北一,A1 香蕉,16.0,19059,15.979999999999993,15.2,17.7,29.3
109 台北一,A1 香蕉,16.3,20855,16.05999999999999,16.0,17.1,30.7
109 台北一,A1 香蕉,16.1,26737,15.919999999999991,16.3,17.7,32.4
109 台北一,A1 香蕉,17.7,23558,16.25999999999999,16.1,18.8,36.3
109 台北一,A1 香蕉,18.0,31519,16.81999999999999,17.7,23.1,33.0
109 台北一,A1 香蕉,18.5,26204,17.31999999999999,18.0,22.1,31.7
109 台北一,A1 香蕉,18.8,22090,17.81999999999999,18.5,20.6,33.5
109 台北一,A1 香蕉,18.6,21146,18.319999999999993,18.8,17.6,34.1
109 台北一,A1 香蕉,17.0,29674,18.179999999999993,18.6,18.1,31.3
109 台北一,A1 香蕉,16.8,25020,17.93999999999999,17.0,19.1,30.6
109 台北一,A1 香蕉,17.2,28025,17.679999999999993,16.8,15.3,30.7
109 台北一,A1 香蕉,15.2,16916,16.959999999999994,17.2,17.5,31.1
109 台北一,A1 香蕉,16.2,22851,16.479999999999997,15.2,17.1,31.8
109 台北一,A1 香蕉,17.2,20760,16.519999999999996,16.2,18.8,32.0
109 台北一,A1 香蕉,15.7,30746,16.299999999999997,17.2,19.9,30.0
109 台北一,A1 香蕉,16.5,30329,16.159999999999997,15.7,21.5,26.6
109 台北一,A1 香蕉,16.6,33765,16.439999999999994,16.5,21.7,30.0
109 台北一,A1 香蕉,15.5,30144,16.299999999999994,16.6,20.3,33.8
109 台北一,A1 香蕉,15.6,25221,15.979999999999993,15.5,25.8,34.0
109 台北一,A1 香蕉,16.7,19080,16.179999999999993,15.6,22.6,31.8
109 台北一,A1 香蕉,16.6,29489,16.199999999999996,16.7,20.9,31.7
109 台北一,A1 香蕉,16.0,27000,16.079999999999995,16.6,20.5,27.2
109 台北一,A1 香蕉,14.9,32010,15.959999999999997,16.0,18.3,24.8
109 台北一,A1 香蕉,12.8,15731,15.399999999999997,14.9,16.3,24.4
109 台北一,A1 香蕉,14.7,19246,14.999999999999996,12.8,15.9,21.6
109 台北一,A1 香蕉,15.7,20640,14.819999999999999,14.7,17.1,24.9
109 台北一,A1 香蕉,16.3,27416,14.879999999999999,15.7,19.0,21.6
109 台北一,A1 香蕉,17.1,16876,15.319999999999999,16.3,20.8,23.8
109 台北一,A1 香蕉,18.8,19238,16.52,17.1,20.1,24.5
109 台北一,A1 香蕉,19.4,30165,17.46,18.8,21.8,23.5
109 台北一,A1 香蕉,19.2,24423,18.16,19.4,20.2,23.6
109 台北一,A1 香蕉,19.5,20760,18.8,19.2,23.5,26.1
109 台北一,A1 香蕉,18.3,24279,19.04,19.5,23.2,28.5
109 台北一,A1 香蕉,16.8,22677,18.639999999999997,18.3,22.8,27.4
109 台北一,A1 香蕉,16.1,22182,17.979999999999997,16.8,20.6,24.3
109 台北一,A1 香蕉,16.0,25922,17.339999999999996,16.1,20.6,21.2
109 台北一,A1 香蕉,16.6,11802,16.759999999999998,16.0,18.6,22.9
109 台北一,A1 香蕉,17.1,18921,16.519999999999996,16.6,20.9,23.5
109 台北一,A1 香蕉,17.3,24714,16.619999999999997,17.1,18.5,26.7
109 台北一,A1 香蕉,17.4,23262,16.879999999999995,17.3,17.7,28.6
109 台北一,A1 香蕉,18.6,21615,17.399999999999995,17.4,23.7,30.9
109 台北一,A1 香蕉,19.4,40101,17.959999999999997,18.6,25.2,29.8
109 台北一,A1 香蕉,19.1,15333,18.359999999999996,19.4,25.3,29.8
109 台北一,A1 香蕉,19.4,20061,18.779999999999998,19.1,23.8,29.0
109 台北一,A1 香蕉,19.5,29612,19.2,19.4,22.1,30.8
109 台北一,A1 香蕉,19.0,20184,19.28,19.5,24.3,30.7
109 台北一,A1 香蕉,16.8,14181,18.76,19.0,20.6,30.0
109 台北一,A1 香蕉,17.1,19760,18.360000000000003,16.8,20.3,27.7
109 台北一,A1 香蕉,17.8,19275,18.040000000000003,17.1,19.4,28.8
109 台北一,A1 香蕉,18.1,20652,17.76,17.8,16.2,30.6
109 台北一,A1 香蕉,18.3,31620,17.62,18.1,20.0,33.0
109 台北一,A1 香蕉,17.6,20655,17.780000000000005,18.3,19.8,35.7
109 台北一,A1 香蕉,16.2,17775,17.600000000000005,17.6,22.1,35.4
109 台北一,A1 香蕉,15.7,22543,17.180000000000007,16.2,15.2,34.4
109 台北一,A1 香蕉,17.3,23175,17.020000000000003,15.7,24.3,33.0
109 台北一,A1 香蕉,16.9,32905,16.740000000000006,17.3,24.9,31.6
109 台北一,A1 香蕉,16.6,27515,16.54000000000001,16.9,22.1,32.1
109 台北一,A1 香蕉,16.6,21381,16.620000000000008,16.6,18.0,32.7
109 台北一,A1 香蕉,17.1,17370,16.90000000000001,16.6,24.2,32.5
109 台北一,A1 香蕉,16.5,20325,16.74000000000001,17.1,23.7,31.9
109 台北一,A1 香蕉,17.1,16126,16.78000000000001,16.5,21.1,34.0
109 台北一,A1 香蕉,18.2,21521,17.100000000000005,17.1,16.1,30.2
109 台北一,A1 香蕉,18.4,14700,17.460000000000008,18.2,17.3,32.5
109 台北一,A1 香蕉,18.9,19953,17.82000000000001,18.4,21.8,32.2
109 台北一,A1 香蕉,18.8,18523,18.28000000000001,18.9,19.9,28.2
109 台北一,A1 香蕉,19.5,22340,18.76000000000001,18.8,17.4,21.5
109 台北一,A1 香蕉,19.3,16890,18.980000000000008,19.5,18.1,19.6
109 台北一,A1 香蕉,20.3,25639,19.360000000000007,19.3,19.1,21.2
109 台北一,A1 香蕉,20.2,27206,19.62000000000001,20.3,17.4,27.7
109 台北一,A1 香蕉,18.6,22410,19.58000000000001,20.2,20.2,31.8
109 台北一,A1 香蕉,18.2,18030,19.32000000000001,18.6,15.1,29.1
109 台北一,A1 香蕉,16.8,17385,18.82000000000001,18.2,23.5,22.9
109 台北一,A1 香蕉,17.4,14895,18.240000000000013,16.8,20.4,18.0
109 台北一,A1 香蕉,17.9,14610,17.78000000000001,17.4,16.4,20.4
109 台北一,A1 香蕉,17.4,20415,17.54000000000001,17.9,18.3,22.3
109 台北一,A1 香蕉,16.8,22320,17.26000000000001,17.4,18.8,21.4
109 台北一,A1 香蕉,15.4,20820,16.98000000000001,16.8,22.7,18.7
109 台北一,A1 香蕉,14.5,21411,16.400000000000013,15.4,15.9,13.3
109 台北一,A1 香蕉,14.1,20250,15.64000000000001,14.5,17.5,12.6
109 台北一,A1 香蕉,15.0,17970,15.160000000000007,14.1,26.1,15.2
109 台北一,A1 香蕉,15.6,30030,14.920000000000007,15.0,35.9,11.4
109 台北一,A1 香蕉,15.9,18915,15.020000000000007,15.6,20.3,19.2
109 台北一,A1 香蕉,15.3,25065,15.180000000000007,15.9,22.0,14.4
109 台北一,A1 香蕉,15.7,21695,15.500000000000009,15.3,33.0,12.4
109 台北一,A1 香蕉,16.7,18515,15.840000000000009,15.7,22.0,12.1
109 台北一,A1 香蕉,15.2,16500,15.76000000000001,16.7,19.6,10.4
109 台北一,A1 香蕉,15.6,19680,15.700000000000008,15.2,21.9,10.3
109 台北一,A1 香蕉,18.0,18825,16.24000000000001,15.6,21.1,10.4
109 台北一,A1 香蕉,19.7,23370,17.04000000000001,18.0,21.0,14.5
109 台北一,A1 香蕉,20.6,25800,17.820000000000007,19.7,20.6,22.8
109 台北一,A1 香蕉,18.8,24885,18.540000000000006,20.6,17.7,18.6
