日期,市場,產品,上價,中價,下價,平均價(元/公斤),價格跟前一交易日比較%,交易量(公斤),交易量跟前一交易日比較%
100/02/12,800 高雄市,P1 番石榴 珍珠芭 ,50.0,34.1,29.2,36.3, + 18,620, - 56
100/02/12,109 台北一,P1 番石榴 珍珠芭 ,39.9,19.8,10.1,21.9, + 44,25883, +  5
100/02/12,600 嘉義市,P1 番石榴 珍珠芭 ,30.0,17.0,10.0,17.0, + 13,750, + 50
100/02/13,600 嘉義市,P1 番石榴 珍珠芭 ,28.0,17.0,10.0,17.0, -   ,720, -  4
100/02/13,400 台中市,P1 番石榴 珍珠芭 ,22.8,12.8,8.6,12.6, +  2,27835, -  8
100/02/13,930 台東市,P1 番石榴 珍珠芭 ,35.0,30.0,20.0,30.4, -  1,228, + 15
100/02/13,104 台北二,P1 番石榴 珍珠芭 ,32.7,20.7,12.9,21.6, -  6,18312, + 45
100/02/13,800 高雄市,P1 番石榴 珍珠芭 ,33.3,25.7,20.0,26.1, - 28,1120, + 81
100/02/13,109 台北一,P1 番石榴 珍珠芭 ,35.4,21.8,12.6,22.7, +  4,34993, + 35
100/02/13,241 三重區,P1 番石榴 珍珠芭 ,28.5,13.4,9.7,15.7, +  5,36754, + 20
